subnet
Id,Name,Network,Mask
1,PKI-Management,10.1.19.0,255.255.255.0
2,DMZ-Inside,10.10.0.0,255.255.254.0
3,CA-DRM-to-DS,10.20.0.0,255.255.255.0
4,Internal-CA-to-DRM,10.22.0.0,255.255.254.0
5,HSM,172.16.30.0,255.255.255.128
6,DS-Net,10.40.0.0,255.255.254.0
7,Private-CS-to-DRM-WAF,192.168.22.0,255.255.255.0
8,GOTS-DB,10.45.0.0,255.255.255.0
9,GOTS-Tier-to-GOTS-DB,10.29.0.0,255.255.255.0
10,CA-DRM-to-GOTS-TIER,10.27.0.0,255.255.255.0
11,GOTS-TIER-to-CA-DRM,10.25.0.0,255.255.255.0
12,GOTS-DMZ-Inside,10.15.0.0,255.255.255.0
13,GOTS-HSM,172.16.35.0,255.255.255.0
14,Netbackup,10.21.0.0,255.255.255.0
